Name,Address,Latitude,Longitude,Provider1,Providerprice1,Provider2,Providerprice2,Provider3,Providerprice3,Provider4,Providerprice4,Provider5,Providerprice5,URL
Mercure Hotel MOA Berlin,"Stephanstr. 41, 10559 Berlín Alemania",52.53193283,13.34366226,Mercure,123.4913,Tripadvisor,123.73,Booking.com,,Hotels.com,,Expedia,123.6233,https://www.tripadvisor.es/Hotel_Review-g187323-d1914663-Reviews-Mercure_Hotel_MOA_Berlin-Berlin.html
Hotel Seifert,"Uhlandstrasse 162, 10719 Berlín Alemania",52.49956894,13.32496738,Tripadvisor,122.66,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d529516-Reviews-Hotel_Seifert-Berlin.html
Meliá Berlin,"Friedrichstrasse 103, 10117 Berlín Alemania",52.52144623,13.38842773,Tripadvisor,122.4,Booking.com,,Hotels.com,,Expedia,128.0032,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d589462-Reviews-Melia_Berlin-Berlin.html
NH Collection Berlin Mitte am Checkpoint Charlie,"Leipziger Str. 106-111, 10117 Berlín Alemania",52.5103569,13.38852596,Tripadvisor,122.08,Booking.com,,NH Collection,122.19,Hotels.com,,Expedia,121.5877,https://www.tripadvisor.es/Hotel_Review-g187323-d233956-Reviews-NH_Collection_Berlin_Mitte_am_Checkpoint_Charlie-Berlin.html
Motel One Berlin Spittelmarkt,"Leipziger Str. 50, 10117 Berlín Alemania",52.51088333,13.40102005,Tripadvisor,122.08,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d1946028-Reviews-Motel_One_Berlin_Spittelmarkt-Berlin.html
SANA Berlin Hotel,"Nuernberger Str. 33 / 34, 10777 Berlín Alemania",52.49909592,13.3346014,Official Hotel,120.7234,Hotels.com,,Agoda.com,,Expedia,,Trip.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d1963628-Reviews-SANA_Berlin_Hotel-Berlin.html
Scandic Berlin Potsdamer Platz,"Gabriele Tergit Promenade 19, 10963 Berlín Alemania",52.50465012,13.37496853,Tripadvisor,118.61,Booking.com,,ScandicHotels.com,118.38,Hotels.com,,Expedia,118.139,https://www.tripadvisor.es/Hotel_Review-g187323-d1674685-Reviews-Scandic_Berlin_Potsdamer_Platz-Berlin.html
Mercure Hotel & Residenz Berlin Checkpoint Charlie,"Schuetzenstrasse 11, 10117 Berlín Alemania",52.50853729,13.39331722,Tripadvisor,118.4,Booking.com,,Mercure,118.1684,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d233880-Reviews-Mercure_Hotel_Residenz_Berlin_Checkpoint_Charlie-Berlin.html
art'otel berlin mitte,"Wallstr. 70-73, 10179 Berlín Alemania",52.51248169,13.41006947,Tripadvisor,117.6,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d190599-Reviews-Art_otel_berlin_mitte-Berlin.html
Karlito Apartmenthaus,"Linienstrasse 60, 10119 Berlín Alemania",52.52882004,13.40513515,Tripadvisor,117.33,Booking.com,,Agoda.com,,,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d1563559-Reviews-Karlito_Apartmenthaus-Berlin.html
