,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
106,De Aker - Nieuw Sloten,52.34238,4.79699,Restaurant De Halve Maen,52.34122309174193,4.793097466813496,Restaurant
107,De Aker - Nieuw Sloten,52.34238,4.79699,Syriana,52.34191281246877,4.792767540319466,Middle Eastern Restaurant
108,De Aker - Nieuw Sloten,52.34238,4.79699,SBHC Xenios,52.3394501646127,4.795645520588192,Hockey Field
109,De Aker - Nieuw Sloten,52.34238,4.79699,Studio 28,52.338645,4.794454,Comedy Club
110,De Aker - Nieuw Sloten,52.34238,4.79699,Amsterdam Crusaders,52.33971808692828,4.80226993560791,Football Stadium
111,De Aker - Nieuw Sloten,52.34838,4.78878,Jumbo,52.34966245575485,4.786839699212023,Supermarket
112,De Aker - Nieuw Sloten,52.34838,4.78878,Tuincentrum Osdorp,52.351863913456036,4.790668268279103,Garden Center
113,De Aker - Nieuw Sloten,52.34838,4.78878,Tramhalte Ecuplein,52.34982081755209,4.788525192511967,Tram Station
114,De Aker - Nieuw Sloten,52.34838,4.78878,Apotheek De Vaart,52.350017745123516,4.785770381328684,Pharmacy
115,De Aker - Nieuw Sloten,52.34838,4.78878,Tramhalte Inaristraat,52.35035968612119,4.783087979023896,Tram Station
116,De Aker - Nieuw Sloten,52.34736,4.78846,Jumbo,52.34966245575485,4.786839699212023,Supermarket
117,De Aker - Nieuw Sloten,52.34736,4.78846,Tramhalte Ecuplein,52.34982081755209,4.788525192511967,Tram Station
118,De Aker - Nieuw Sloten,52.34736,4.78846,Apotheek De Vaart,52.350017745123516,4.785770381328684,Pharmacy
119,De Aker - Nieuw Sloten,52.34736,4.78846,Tramhalte Inaristraat,52.35035968612119,4.783087979023896,Tram Station
120,De Aker - Nieuw Sloten,52.34559,4.79503,Speeltuin Sloten,52.34170280814588,4.795679272255508,Playground
121,De Aker - Nieuw Sloten,52.34559,4.79503,Molen van Sloten,52.34157969249928,4.792270660400391,Monument / Landmark
122,De Aker - Nieuw Sloten,52.34559,4.79503,De Patatza(a)k,52.34146,4.79253,Snack Place
123,De Aker - Nieuw Sloten,52.34559,4.79503,IJshoeve,52.341324,4.793758,Ice Cream Shop
124,De Aker - Nieuw Sloten,52.34559,4.79503,Syriana,52.34191281246877,4.792767540319466,Middle Eastern Restaurant
